Repo,Treatment,Latency_ms,Size_bytes
facebook/react,GRAPHQL_SIMPLE,384.59004200012714,99
facebook/react,REST_COMPLEX,1792.6192920003814,113556
facebook/react,GRAPHQL_SIMPLE,404.7027500000695,99
facebook/react,REST_COMPLEX,1463.2577080001283,113556
facebook/react,GRAPHQL_SIMPLE,401.0578750003333,99
facebook/react,REST_COMPLEX,1475.8544160004021,113556
facebook/react,GRAPHQL_SIMPLE,1352.128291999179,99
facebook/react,GRAPHQL_COMPLEX,414.3361250007729,1867
facebook/react,REST_COMPLEX,1551.7474580001362,113556
facebook/react,REST_COMPLEX,1612.2499589992003,113556
facebook/react,REST_COMPLEX,1956.4174590013863,113556
facebook/react,GRAPHQL_COMPLEX,443.35387499995704,1867
facebook/react,REST_SIMPLE,469.02383399992686,6156
facebook/react,GRAPHQL_COMPLEX,400.72604100078024,1867
facebook/react,REST_SIMPLE,447.9409579998901,6156
facebook/react,GRAPHQL_COMPLEX,447.51875000019936,1867
facebook/react,REST_COMPLEX,1470.1934570011872,113556
facebook/react,REST_COMPLEX,1458.0132930004766,113556
facebook/react,REST_COMPLEX,1534.3778739998015,113556
facebook/react,GRAPHQL_SIMPLE,396.5891660000125,99
facebook/react,GRAPHQL_COMPLEX,555.824959000347,1867
facebook/react,REST_COMPLEX,1554.3928750003033,113556
facebook/react,REST_SIMPLE,496.357375000116,6156
facebook/react,REST_SIMPLE,428.20279199986544,6156
facebook/react,GRAPHQL_COMPLEX,442.220541000097,1867
facebook/react,REST_COMPLEX,1442.8404579994094,113556
facebook/react,GRAPHQL_SIMPLE,425.0927499997488,99
facebook/react,GRAPHQL_SIMPLE,496.6865830001552,99
facebook/react,REST_SIMPLE,454.93858300051215,6156
facebook/react,REST_SIMPLE,631.251458999941,6156
facebook/react,GRAPHQL_COMPLEX,1415.871082999729,1867
facebook/react,GRAPHQL_SIMPLE,391.3763749997088,99
facebook/react,GRAPHQL_COMPLEX,471.4727500004301,1867
facebook/react,REST_COMPLEX,1524.3309590005083,113556
facebook/react,REST_SIMPLE,506.9797080004719,6156
facebook/react,GRAPHQL_COMPLEX,460.3429579992735,1867
facebook/react,GRAPHQL_COMPLEX,502.76758300060465,1867
facebook/react,REST_SIMPLE,1839.8177919998489,6156
facebook/react,GRAPHQL_COMPLEX,472.9156250004962,1867
facebook/react,GRAPHQL_SIMPLE,752.9432499995892,99
facebook/react,REST_COMPLEX,1911.6870839998228,113556
facebook/react,REST_COMPLEX,1522.2020409992183,113556
facebook/react,GRAPHQL_COMPLEX,647.0297910000227,1867
facebook/react,GRAPHQL_SIMPLE,384.70200000028854,99
facebook/react,GRAPHQL_SIMPLE,354.56887500004086,99
facebook/react,GRAPHQL_SIMPLE,421.47825000029115,99
facebook/react,GRAPHQL_SIMPLE,370.1558750008189,99
facebook/react,REST_COMPLEX,1838.2089169999745,113556
facebook/react,REST_COMPLEX,1528.0597510009102,113556
facebook/react,REST_COMPLEX,1772.7007499997853,113556
facebook/react,REST_SIMPLE,475.9487920000538,6156
facebook/react,GRAPHQL_SIMPLE,1399.1143339999326,99
facebook/react,GRAPHQL_SIMPLE,378.0862919993524,99
facebook/react,GRAPHQL_COMPLEX,487.7341669998714,1867
facebook/react,REST_COMPLEX,1479.68362499887,113556
facebook/react,GRAPHQL_COMPLEX,475.20083299968974,1867
facebook/react,REST_COMPLEX,1624.0809169994463,113556
facebook/react,GRAPHQL_SIMPLE,1511.5223749999132,99
facebook/react,REST_COMPLEX,2304.049291999945,113556
facebook/react,REST_SIMPLE,713.0227920006291,6156
facebook/react,GRAPHQL_SIMPLE,406.76499999972293,99
facebook/react,REST_COMPLEX,2501.292457999625,113556
facebook/react,REST_SIMPLE,669.5037910003521,6156
facebook/react,GRAPHQL_COMPLEX,1654.3481250000696,1867
facebook/react,REST_COMPLEX,1530.0307090001297,113556
facebook/react,REST_COMPLEX,1782.402332998572,113556
facebook/react,REST_SIMPLE,456.8696660007845,6156
facebook/react,REST_SIMPLE,517.4240420001297,6156
facebook/react,GRAPHQL_SIMPLE,884.3774160004614,99
facebook/react,REST_SIMPLE,466.9771250000849,6156
facebook/react,GRAPHQL_COMPLEX,421.9227499997942,1867
facebook/react,GRAPHQL_COMPLEX,526.5695409998443,1867
facebook/react,GRAPHQL_SIMPLE,329.51587499974266,99
facebook/react,REST_SIMPLE,444.7155000007115,6156
facebook/react,REST_COMPLEX,2761.0363340008917,113556
facebook/react,REST_SIMPLE,776.7292499993346,6156
facebook/react,GRAPHQL_COMPLEX,498.46387500019773,1867
facebook/react,REST_COMPLEX,1729.6640819995446,113556
facebook/react,GRAPHQL_SIMPLE,396.4436249998471,99
facebook/react,REST_COMPLEX,1764.7917090007468,113556
facebook/react,GRAPHQL_COMPLEX,680.6988329999513,1867
facebook/react,REST_SIMPLE,524.1239169999972,6156
facebook/react,GRAPHQL_SIMPLE,377.75587499982066,99
facebook/react,REST_SIMPLE,624.4152079998457,6156
facebook/react,GRAPHQL_COMPLEX,516.1685829998532,1867
facebook/react,REST_SIMPLE,467.60674999950425,6156
facebook/react,GRAPHQL_COMPLEX,811.2225419999959,1867
facebook/react,REST_SIMPLE,544.1322910000963,6156
facebook/react,REST_COMPLEX,1901.5752500008603,113556
facebook/react,REST_COMPLEX,2542.3437079989526,113556
facebook/react,REST_SIMPLE,774.3518340002993,6156
facebook/react,REST_SIMPLE,507.52783299958537,6156
